PkgName,PkgVer,PythonVer,Result
paddlex,2.1.0,3.5.2,Consistent
pylint-odoo,8.0.17,3.5.2,Consistent
scm-git,1.2.4,3.5.2,Consistent
sigopt_sklearn,2.2.0,3.5.2,Consistent
stumpy,1.11.1,3.5.2,Consistent
tntorch,1.1.1,3.5.2,Consistent
uszipcode,1.0.1,3.5.2,Consistent
vaex-hdf5,0.14.1,3.5.2,Consistent
wagtail-metadata,4.0.2,3.5.2,Consistent
wavelink,1.3.3,3.5.2,Consistent
yellowbrick,1.5,3.5.2,Consistent
adafruit-circuitpython-bme280,2.6.19,3.4.4,Consistent
aioquic,0.9.20,3.4.4,Consistent
azure-cli-cognitiveservices,0.2.6,3.4.4,Consistent
azure-mgmt-batchai,2.0.0,3.4.4,Consistent
azure-mgmt-datalake-analytics,0.6.0,3.4.4,Consistent
azure-mgmt-edgeorder,1.0.0,3.4.4,Consistent
azure-mgmt-managementpartner,1.0.0,3.4.4,Consistent
azure-mgmt-maps,2.0.0,3.4.4,Consistent
azure-mgmt-privatedns,1.0.0,3.4.4,Consistent
blueqat,2.0.3,3.4.4,Consistent
breathe,4.34.0,3.4.4,Consistent
chalice,1.27.3,3.4.4,Consistent
dalle-pytorch,1.6.4,3.4.4,Consistent
datadog-checks-dev,17.4.0,3.4.4,Consistent
dataflows,0.3.16,3.4.4,Consistent
devpi-client,6.0.2,3.4.4,Consistent
django-click,2.3.0,3.4.4,Consistent
django-post_office,3.6.3,3.4.4,Consistent
django-treenav,2.0.0,3.4.4,Consistent
django-user-accounts,3.2.0,3.4.4,Consistent
djangocms-attributes-field,2.1.0,3.4.4,Consistent
djangocms-cascade,2.3.14,3.4.4,Consistent
django_celery_results,2.4.0,3.4.4,Consistent
flake8-functions,0.0.7,3.4.4,Consistent
flask-mongoengine,1.0.0,3.4.4,Consistent
fpdf2,2.6.0,3.4.4,Consistent
HiYaPyCo,0.5.1,3.4.4,Consistent
invenio-jsonschemas,1.1.4,3.4.4,Consistent
lemur,1.2.0,3.4.4,Consistent
neurokit2,0.2.2,3.4.4,Consistent
octohatrack,1.1.0,3.4.4,Consistent
onnx-tf,1.10.0,3.4.4,Consistent
pinax-eventlog,5.1.1,3.4.4,Consistent
pybadges,3.0.0,3.4.4,Consistent
etk,2.2.8,3.5.2,Consistent
mkdocs-rokubun,5.5.12,3.5.2,Consistent
opal-azure-cli-cosmosdb,0.2.15,3.5.2,Consistent
saliency,0.2.0,3.5.2,Inconsistent
pytorch-ignite,0.4.10,3.4.4,Consistent
raiden-contracts,0.50.2,3.4.4,Consistent
requests-pkcs12,1.14,3.4.4,Consistent
rlp,3.0.0,3.4.4,Consistent
sklearn-deap,0.3.0,3.4.4,Consistent
sphinx-markdown-tables,0.0.17,3.4.4,Consistent
stockstats,0.5.1,3.4.4,Consistent
terraform-compliance,1.3.34,3.4.4,Consistent
twitchio,2.5.0,3.4.4,Consistent
urlextract,1.7.1,3.4.4,Consistent
vaex-hdf5,0.14.1,3.4.4,Consistent
wagtail-cache,2.2.0,3.4.4,Consistent
webauthn,1.6.0,3.4.4,Consistent
x-transformers,1.5.1,3.4.4,Consistent
ansible-playbook-grapher,1.2.0,3.4.4,CompileError
jet-bridge,1.3.0,3.4.4,CompileError
keras-tuner,1.1.3,3.4.4,CompileError
matminer,0.8.0,3.4.4,CompileError
myeasyocr,1.2.3,3.4.4,CompileError
opal-azure-cli-acr,2.2.12,3.4.4,CompileError
opal-azure-cli-batch,4.0.6,3.4.4,CompileError
opal-azure-cli-batchai,0.4.12,3.4.4,CompileError
opal-azure-cli-core,2.0.70,3.4.4,CompileError
opal-azure-cli-feedback,2.2.4,3.4.4,CompileError
plone.formwidget.contenttree,1.2.0,3.4.4,CompileError
plone.supermodel,2.0.0,3.4.4,CompileError
pusher,3.3.0,3.4.4,CompileError
robotframework-appiumlibrary,2.0.0,3.4.4,CompileError
skl2onnx,1.13,3.4.4,CompileError
caldav,0.11.0,3.5.2,Inconsistent
silx,1.1.1,3.5.2,Inconsistent
azure-cli-component,2.0.8,3.5.2,Consistent
spylunking,1.2.10,3.5.2,Consistent
neoml,2.0.92,3.5.2,Inconsistent
Products.ZCatalog,6.3,3.5.2,Consistent
adafruit-circuitpython-ads1x15,2.2.21,3.4.4,Consistent
pyEX,0.5.0,3.4.4,CompileError
odoo13-addon-onchange-helper,13.0.1.1.0,3.5.2,Consistent
