PkgName,PkgVer,PythonVer,Time(pip),Time(HELP_solve),Time(HELP_total)
odoo13_addon_queue_job,13.0.3.11.1,3.10.4,1.019 ,0.000 ,0.000 
pvrhinodemo,2.2.3,3.7.2,1.322 ,0.000 ,0.000 
blueqat,2.0.4,3.6.5,1.168 ,0.005 ,0.005 
pvrhinodemo,2.2.3,3.10.4,6.327 ,0.000 ,0.000 
guidance,0.0.64,3.7.2,1.450 ,0.019 ,0.019 
libraryshad,1.0.5,3.6.5,2.336 ,0.022 ,0.022 
threatexchange,1.0.10,3.7.2,15.618 ,0.028 ,0.028 
cachier,2.2.1,3.6.5,2.638 ,0.025 ,0.025 
fastq2folder,1.0.6,3.7.2,1.769 ,0.004 ,0.004 
lookatme,2.5.5,3.6.5,2.788 ,0.009 ,0.009 
