PkgName,PkgVer,PythonVer,Time(pip),Time(HELP_solve),Time(HELP_install)
labelcloud,1.0.1,3.10.4,108.283 ,25.548 ,71.623 
archivy,1.7.5,3.9.2,15.686 ,1.310 ,14.939 
androguard,3.3.5,3.9.2,33.495 ,2.046 ,15.584 
mlflow_devlibx,1.22.8,3.7.2,47.166 ,5.355 ,42.578 
pywb,2.7.4,3.10.4,19.758 ,2.568 ,15.937 
blueqat,2.0.4,3.9.2,36.048 ,0.933 ,26.398 
pymc3,3.11.5,3.10.4,36.110 ,2.944 ,32.448 
pywb,2.7.4,3.8.2,18.211 ,2.843 ,15.287 
jupyter_book,0.15.1,3.10.4,46.838 ,12.856 ,42.229 
conda_lock,2.1.1,3.9.2,25.672 ,2.578 ,18.549 
gefyra,1.1.2,3.8.2,10.553 ,2.124 ,11.474 
firebase_admin,6.2.0,3.9.2,18.973 ,5.596 ,12.662 
pymc3,3.11.5,3.8.2,35.190 ,2.955 ,27.795 
opal_azure_cli_acs,2.4.6,3.8.2,25.158 ,5.627 ,25.099 
zappa,0.57.0,3.9.2,16.636 ,2.609 ,15.898 
scar,4.3.1,3.9.2,10.855 ,2.227 ,10.409 
apache_airflow_backport_providers_oracle,2021.3.17,3.6.5,77.801 ,11.564 ,49.625 
noisereduce,2.0.1,3.9.2,38.316 ,2.881 ,29.259 
allennlp_models,2.10.1,3.8.2,207.195 ,22.101 ,147.682 
dedupe,2.0.23,3.8.2,23.126 ,2.566 ,20.083 
autoviz,0.1.730,3.8.2,127.982 ,11.247 ,77.956 
botbuilder_integration_applicationinsights_aiohttp,4.14.4,3.7.2,24.906 ,2.952 ,22.335 
auto_ml,2.9.10,3.6.5,30.603 ,1.281 ,18.880 
dwave_ocean_sdk,6.4.1,3.8.2,29.633 ,8.264 ,29.720 
getoldtweets3,0.0.11,3.6.5,3.666 ,0.193 ,3.301 
stups_senza,2.1.143,3.7.2,25.115 ,4.427 ,19.993 
autogluon,0.8.2,3.10.4,330.999 ,38.730 ,186.198 
ccxt_1_56_19,1.56.19,3.7.2,12.146 ,1.766 ,12.812 
thoth_python,0.17.0,3.8.2,26.863 ,7.429 ,23.804 
