PkgName,PkgVer,PythonVer
vnudenet,2.1.0,3.6.5
imagecorruptions,1.1.2,3.6.5
redshift_connector,2.0.913,3.8.2
apache_airflow_backport_providers_samba,2021.3.17,3.7.2
pyomu,0.2.2,3.9.2
cloud_volume,8.24.2,3.10.4
deeppavlov,1.2.0,3.8.2
django_celery_beat,2.5.0,3.6.5
stac_fastapi.api,2.4.8,3.8.2
botbuilder_integration_aiohttp,4.14.4,3.6.5
dwave_ocean_sdk,6.4.1,3.9.2
nbgrader,0.8.4,3.8.2
ppasr,2.4.5,3.6.5
stups_senza,2.1.143,3.10.4
pandera,0.16.0,3.7.2
darts,0.24.0,3.10.4
tabulator,1.53.5,3.9.2
ccxt_1_55_84,1.55.84,3.7.2
odoo14_addon_shopinvader,14.0.5.21.0,3.7.2
thoth_python,0.17.0,3.8.2
eo_learn,1.4.2,3.9.2
apache_airflow_providers_microsoft_winrm,3.2.1,3.10.4
odoo11_addon_account_banking_mandate,11.0.2.0.1,3.9.2
dagster_aws,0.19.14,3.10.4
blueqat,2.0.4,3.6.5
myst_nb,0.17.2,3.9.2
pycognito,2023.5.0,3.7.2
dlhub_sdk,2.1.0,3.6.5
muselsl,2.2.2,3.6.5
apache_airflow_providers_cncf_kubernetes,7.3.0,3.8.2
aws_sam_cli,1.90.0,3.7.2
wagtail_cache,2.2.0,3.6.5
django_graphql_jwt,0.3.4,3.6.5
odoo14_addon_web_widget_x2many_2d_matrix,14.0.1.1.0,3.10.4
pycognito,2023.5.0,3.9.2
django_ical,1.9.2,3.6.5
streamlit_drawable_canvas,0.9.3,3.10.4
ncnn,1.0.20230517,3.6.5
nwbwidgets,0.10.2,3.10.4
stac_pydantic,2.0.3,3.9.2
yolov5,7.0.12,3.10.4
xraylarch,0.9.71,3.7.2
pdfcropmargins,2.0.3,3.6.5
gkeepapi,0.14.2,3.6.5
rpaframework_google,7.0.3,3.10.4
salesforce_lavis,1.0.2,3.8.2
sentry,23.6.2,3.8.2
hpp_fcl,2.3.5,3.7.2
allensdk,2.15.1,3.10.4
guidance,0.0.64,3.6.5
pache_airflow_providers_microsoft_azure,6.2.1,3.8.2
quantaxis,1.10.19,3.8.2
prefect,2.10.21,3.8.2
seldon_core,1.17.0,3.6.5
datasaku,0.0.8,3.7.2
hyperspy,1.7.5,3.9.2
pvrhinodemo,2.2.3,3.6.5
phenopackets,2.0.2,3.6.5
allennlp_models,2.10.1,3.8.2
sentry,23.6.2,3.10.4
invenio_access,2.0.0,3.8.2
pipenv_setup,3.2.0,3.8.2
odoo14_addon_queue_job,14.0.3.1.0,3.9.2
pymc3,3.11.5,3.10.4
auto_py_to_exe,2.36.0,3.6.5
cellpose,2.2.2,3.10.4
navis,1.4.0,3.7.2
opal_azure_cli_acs,2.4.6,3.8.2
jedi_language_server,0.30.2,3.8.2
tableschema_sql,1.3.2,3.8.2
stups_senza,2.1.143,3.7.2
objax,1.7.0,3.6.5
rio_tiler,5.0.2,3.8.2
allensdk,2.15.1,3.8.2
requests_ip_rotator,1.0.14,3.7.2
labelcloud,1.0.1,3.9.2
invenio,3.4.1,3.8.2
opal_azure_cli_acs,2.4.6,3.9.2
androguard,3.3.5,3.6.5
odoo14_addon_queue_job,14.0.3.1.0,3.6.5
manimgl,1.6.1,3.6.5
squidpy,1.3.0,3.9.2
neuralcoref,4,3.8.2
ccxt_1_55_84,1.55.84,3.10.4
cloud_volume,8.24.2,3.6.5
thonny_pololu,1.0.0,3.7.2
whatlies,0.7.0,3.6.5
auto_ml,2.9.10,3.6.5
gluoncv,0.10.5,3.6.5
cloud_volume,8.24.2,3.8.2
rio_tiler,5.0.2,3.9.2
botbuilder_integration_applicationinsights_aiohttp,4.14.4,3.7.2
pywb,2.7.4,3.9.2
mlflow_devlibx,1.22.8,3.7.2
pypulseq,1.4.0,3.9.2
alpaca_trade_api,3.0.2,3.7.2
pvrhinodemo,2.2.3,3.10.4
tfg_nightly,2023.1.11,3.7.2
adafruit_circuitpython_mcp230xx,2.5.11,3.6.5
wagtail_metadata,4.0.3,3.6.5
clip_retrieval,2.37.0,3.9.2
ai2thor,5.0.0,3.10.4
google_cloud_bigquery,3.11.3,3.8.2
apache_airflow_providers_microsoft_winrm,3.2.1,3.8.2
gefyra,1.1.2,3.8.2
neurokit2,0.2.5,3.6.5
stheno,1.4.1,3.6.5
indra,1.22.0,3.9.2
odoo14-addon-base-exception,14.0.2.1.0,3.6.5
intel-scipy,1.7.3,3.10.4
odoo11-addon-account-payment-partner,11.0.1.4.0,3.10.4
odoo13-addon-web-widget-x2many-2d-matrix,13.0.1.1.1,3.6.5
odoo12-addon-l10n-it-fatturapa,12.0.3.0.3,3.6.5
odoo11-addon-contract,11.0.2.1.0,3.7.2
odoo12-addon-project-timesheet-time-control,12.0.2.1.1,3.6.5
sample-factory,2.0.2,3.8.2
odoo13-addon-sale-order-secondary-unit,13.0.1.3.0,3.6.5
tsam,2.2.2,3.8.2
scm-git,1.2.4,3.7.2
scm-git,1.2.4,3.6.5
odoo13-addon-edi-voxel,13.0.1.0.2,3.6.5
odoo14-addon-fieldservice-account,14.0.1.2.2,3.6.5
odoo13-addon-rma,13.0.2.7.1,3.6.5
odoo12-addon-mis-builder,12.0.3.7.7,3.6.5
odoo12-addon-l10n-it-corrispettivi,12.0.1.1.8,3.6.5
apache-airflow-backport-providers-apache-hive,2021.3.3,3.7.2
Ciphey,5.14.0,3.9.2
odoo13-addon-partner-firstname,13.0.1.0.2,3.6.5
odoo12-addon-agreement,12.0.1.2.0,3.6.5
quantaxis,1.10.19,3.9.2
apache-airflow-backport-providers-apache-hive,2021.3.3,3.8.2
check50,3.3.7,3.6.5
django-admin-interface,0.23.0,3.6.5
just,0.8.155,3.9.2
musco-pytorch,1.0.6,3.10.4
0x-contract-wrappers,2.0.0,3.10.4
0x-contract-wrappers,2.0.0,3.7.2
0x-order-utils,4.0.1,3.8.2
aiida-core,2.1.2,3.9.2
androguard,3.3.5,3.10.4
connexion2,2.10.0,3.6.5
fairseq,0.12.2,3.6.5
Flask-Assistant,0.5.4,3.6.5
openmetadata-sqlalchemy-bigquery,1.2.0,3.6.5
pyqt5-tools,5.15.4.3.2,3.6.5
swaglyrics,1.2.2,3.6.5
Ciphey,5.14.0,3.8.2
collective.cover,2.2.3,3.7.2
memorious,2.5.0,3.10.4
mkdocs-rokubun,5.5.12,3.8.2
opentelemetry-exporter-otlp,1.14.0,3.7.2
exhale,0.3.6,3.9.2
nnabla-converter,1.31.0,3.8.2
dlhub-sdk,1.1.1,3.10.4
lcdp-connexion,2.9.4,3.8.2
aiida-core,2.1.2,3.10.4
textacy,0.12.0,3.8.2
pipenv-setup,3.2.0,3.8.2
pipenv-setup,3.2.0,3.10.4
mkdocs-rokubun,5.5.12,3.7.2
check50,3.3.7,3.9.2
snet.sdk,3.0.1,3.10.4
connexion2,2.10.0,3.9.2
pyqt5-tools,5.15.4.3.2,3.7.2
sqlfluff-templater-dbt,1.4.2,3.9.2
ccxt-1-55-84,1.55.84,3.9.2
swaglyrics,1.2.2,3.7.2
dlhub-sdk,1.1.1,3.9.2
spylunking,1.2.10,3.8.2
raiden-contracts,0.50.2,3.10.4
nnabla-converter,1.31.0,3.9.2
aws-sam-cli,1.66.0,3.7.2
opentelemetry-exporter-zipkin,1.14.0,3.8.2
ccxt-1-55-84,1.55.84,3.8.2
raiden-contracts,0.50.2,3.9.2
opentelemetry-exporter-zipkin,1.14.0,3.10.4
0x-contract-wrappers,2.0.0,3.9.2
connexion2,2.10.0,3.8.2
gradio,3.12.0,3.10.4
ccxt-1-55-84,1.55.84,3.7.2
autogluon,0.6.0,3.9.2
check50,3.3.7,3.8.2
opal-azure-cli-batchai,0.4.12,3.7.2
submit50,3.1.1,3.9.2
Ciphey,5.14.0,3.7.2
exhale,0.3.6,3.7.2
raiden-contracts,0.50.2,3.8.2
etk,2.2.8,3.8.2
autoviz,0.1.58,3.9.2
aws-sam-cli,1.66.0,3.8.2
dlhub-sdk,1.1.1,3.8.2
submit50,3.1.1,3.10.4
0x-order-utils,4.0.1,3.10.4
snet.sdk,3.0.1,3.7.2
allennlp-models,2.10.1,3.8.2
prospector,1.8.2,3.9.2
pyqt5-tools,5.15.4.3.2,3.8.2
sphinx-js,3.1.2,3.9.2
mkdocs-material,8.5.11,3.9.2
