PkgName,PkgVer,PythonVer
brax,0.9.1,3.7.2
quilt3,5.3.1,3.8.2
invenio_app,1.4.0,3.7.2
odoo_addon_web_widget_x2many_2d_matrix,15.0.1.0.2,3.8.2
threatexchange,1.0.10,3.7.2
vector_quantize_pytorch,1.6.30,3.6.5
google_cloud_bigquery,3.11.3,3.7.2
odoo14_addon_queue_job,14.0.3.1.0,3.7.2
omnixai,1.3.1,3.7.2
vnudenet,2.1.0,3.6.5
imagecorruptions,1.1.2,3.6.5
redshift_connector,2.0.913,3.8.2
apache_airflow_backport_providers_samba,2021.3.17,3.7.2
pyomu,0.2.2,3.9.2
cloud_volume,8.24.2,3.10.4
deeppavlov,1.2.0,3.8.2
django_celery_beat,2.5.0,3.6.5
stac_fastapi.api,2.4.8,3.8.2
botbuilder_integration_aiohttp,4.14.4,3.6.5
dwave_ocean_sdk,6.4.1,3.9.2
nbgrader,0.8.4,3.8.2
ppasr,2.4.5,3.6.5
stups_senza,2.1.143,3.10.4
pandera,0.16.0,3.7.2
darts,0.24.0,3.10.4
tabulator,1.53.5,3.9.2
ccxt_1_55_84,1.55.84,3.7.2
odoo14_addon_shopinvader,14.0.5.21.0,3.7.2
thoth_python,0.17.0,3.8.2
eo_learn,1.4.2,3.9.2
odoo11_addon_account_banking_mandate,11.0.2.0.1,3.9.2
dagster_aws,0.19.14,3.10.4
blueqat,2.0.4,3.6.5
myst_nb,0.17.2,3.9.2
pycognito,2023.5.0,3.7.2
dlhub_sdk,2.1.0,3.6.5
muselsl,2.2.2,3.6.5
apache_airflow_providers_cncf_kubernetes,7.3.0,3.8.2
aws_sam_cli,1.90.0,3.7.2
django_graphql_jwt,0.3.4,3.6.5
odoo14_addon_web_widget_x2many_2d_matrix,14.0.1.1.0,3.10.4
pycognito,2023.5.0,3.9.2
django_ical,1.9.2,3.6.5
streamlit_drawable_canvas,0.9.3,3.10.4
ncnn,1.0.20230517,3.6.5
nwbwidgets,0.10.2,3.10.4
stac_pydantic,2.0.3,3.9.2
xraylarch,0.9.71,3.7.2
pdfcropmargins,2.0.3,3.6.5
gkeepapi,0.14.2,3.6.5
rpaframework_google,7.0.3,3.10.4
salesforce_lavis,1.0.2,3.8.2
sentry,23.6.2,3.8.2
hpp_fcl,2.3.5,3.7.2
allensdk,2.15.1,3.10.4
guidance,0.0.64,3.6.5
quantaxis,1.10.19,3.8.2
prefect,2.10.21,3.8.2
seldon_core,1.17.0,3.6.5
datasaku,0.0.8,3.7.2
hyperspy,1.7.5,3.9.2
pvrhinodemo,2.2.3,3.6.5
allennlp_models,2.10.1,3.8.2
sentry,23.6.2,3.10.4
invenio_access,2.0.0,3.8.2
pipenv_setup,3.2.0,3.8.2
odoo14_addon_queue_job,14.0.3.1.0,3.9.2
pymc3,3.11.5,3.10.4
auto_py_to_exe,2.36.0,3.6.5
cellpose,2.2.2,3.10.4
navis,1.4.0,3.7.2
opal_azure_cli_acs,2.4.6,3.8.2
jedi_language_server,0.30.2,3.8.2
tableschema_sql,1.3.2,3.8.2
stups_senza,2.1.143,3.7.2
objax,1.7.0,3.6.5
rio_tiler,5.0.2,3.8.2
allensdk,2.15.1,3.8.2
requests_ip_rotator,1.0.14,3.7.2
labelcloud,1.0.1,3.9.2
invenio,3.4.1,3.8.2
opal_azure_cli_acs,2.4.6,3.9.2
androguard,3.3.5,3.6.5
odoo14_addon_queue_job,14.0.3.1.0,3.6.5
manimgl,1.6.1,3.6.5
squidpy,1.3.0,3.9.2
neuralcoref,4,3.8.2
ccxt_1_55_84,1.55.84,3.10.4
cloud_volume,8.24.2,3.6.5
thonny_pololu,1.0.0,3.7.2
whatlies,0.7.0,3.6.5
